area,price,title,community,link,time,Latitude,model
51平,4700,田林十一村，低楼层，交通方便，真实在租,田林十一村,/zufang/shz4141553.html,2017.08.06上架,"[u'121.432385', u'31.177861']",2室1厅
70平,6000,古美小区，近地铁，享受好房，看房有钥匙,古美小区,/zufang/shz4141401.html,2017.08.06上架,"[u'121.404954', u'31.160694']",3室1厅
49平,4200,高清照片，生活很便利，最近看房多，如您所见,古美三村,/zufang/shz4141203.html,2017.08.06上架,"[u'121.408774', u'31.147593']",1室1厅
123平,13200,张江汤臣豪园，有爱有家，光线充足，出行方便,张江汤臣豪园（二期）,/zufang/shz4141014.html,2017.08.06上架,"[u'121.603671', u'31.208036']",3室2厅
36平,4500,田林十四村，高区景观好，附近有地铁，温馨一室,田林十四村,/zufang/shz4140865.html,2017.08.06上架,"[u'121.4298131', u'31.18186825']",1室0厅
77平,6500,中远行家，上门实勘，一链倾城，小户型,中远行家,/zufang/shz4140835.html,2017.08.06上架,"[u'121.5359157', u'31.21060033']",1室1厅
65平,4600,东陆新村二街坊，2室1厅，受欢迎好房，好房待租,东陆新村二街坊,/zufang/shz4140785.html,2017.08.06上架,"[u'121.6061953', u'31.27885008']",2室1厅
38平,3500,多次带看，温馨之家，链家有钥匙，上门实拍,控江路1200弄,/zufang/shz4140410.html,2017.08.06上架,"[u'121.533023', u'31.284686']",1室1厅
63平,6800,看房客户多，看房有钥匙，链家好房，适合自住,南园小区,/zufang/shz4140311.html,2017.08.05上架,"[u'121.480363', u'31.202975']",2室1厅
42平,3600,最近看房多，如您所见，附近有地铁，上门实拍,祁连二村,/zufang/shz4139952.html,2017.08.05上架,"[u'121.387352', u'31.322801']",2室0厅
87平,6300,一品漫城，南北通透，出行方便，多次带看,一品漫城（一期）（公寓）,/zufang/shz4139826.html,2017.08.05上架,"[u'121.501431', u'31.123422']",2室2厅
33平,6000,东昌新村，光线充足，小户型，上门实拍,东昌新村,/zufang/shz4139621.html,2017.08.05上架,"[u'121.51825', u'31.23831918']",1室1厅
29平,4600,上南二村，享受好房，实地看房，低区出入方便,上南二村,/zufang/shz4139551.html,2017.08.05上架,"[u'121.501829', u'31.182348']",1室0厅
58平,2700,新华小区，链家有钥匙，放心好房，地铁沿线,新华小区,/zufang/shz4139550.html,2017.08.05上架,"[u'121.4154697', u'31.01381566']",2室1厅
60平,8500,最近看房多，光线非常好，上门实勘，温馨之家,徐家汇花园,/zufang/shz4139344.html,2017.08.05上架,"[u'121.453761', u'31.199951']",1室2厅
42平,4000,好房待租，出行方便，小户型，看房客户多,金桥新村四街坊（博兴路986弄）,/zufang/shz4138297.html,2017.08.05上架,"[u'121.597263', u'31.27067103']",1室1厅
73平,7000,看房有钥匙，精致户型，好房好心情，空气清新,牡丹小区（浦东）,/zufang/shz4137393.html,2017.08.04上架,"[u'121.5520389', u'31.21342712']",2室1厅
29平,4000,链家房源，一室小户型，生活很便利，实地看房,又一村（静安）,/zufang/shz4137242.html,2017.08.04上架,"[u'121.452362', u'31.236111']",1室1厅
33平,4500,鞍山四村第三小区，交通方便，光线充足，人气房源,鞍山四村第三小区,/zufang/shz4136934.html,2017.08.04上架,"[u'121.514523', u'31.280994']",1室1厅
57平,4500,洛川中路1100弄，钥匙在店，视野很好，享受好房,洛川中路1100弄,/zufang/shz4136489.html,2017.08.04上架,"[u'121.4560535', u'31.27070761']",2室0厅
37平,3800,实地看房，1室1厅，高清实拍，高区采光好,引翔港小区,/zufang/shz4136327.html,2017.08.04上架,"[u'121.5458777', u'31.27875882']",1室1厅
54平,10000,淡水湾花园，有钥匙方便看，温馨之家，光线充足,淡水湾花园,/zufang/shz4136323.html,2017.08.04上架,"[u'121.48192', u'31.216363']",1室1厅
56平,3800,南大路76弄，高清照片，交通方便，最近看房多,南大路76弄,/zufang/shz4135892.html,2017.08.03上架,"[u'121.4122001', u'31.30575415']",2室1厅
34平,3600,密云路471弄，有爱有家，闹中取静，看房有钥匙,密云路471弄,/zufang/shz4135522.html,2017.08.03上架,"[u'121.5020471', u'31.28878984']",1室0厅
26平,3500,温馨一室，附近有地铁，实地看房，钥匙在链家,何家宅小区,/zufang/shz4135460.html,2017.08.03上架,"[u'121.48269', u'31.280439']",1室1厅
33平,5200,瞿溪路1240弄，多次带看，上门实拍，钥匙在店,瞿溪路1240弄,/zufang/shz4135092.html,2017.08.03上架,"[u'121.4772494', u'31.203828']",1室0厅
117平,10000,东方城市花园，2室2厅1卫，好楼层，多次带看,东方城市花园（二期）,/zufang/shz4135060.html,2017.08.03上架,"[u'121.528449', u'31.20458']",2室2厅
72平,6000,有钥匙方便看，实地看房，放心好房，简约二室,缘圆宝邸,/zufang/shz4134961.html,2017.08.03上架,"[u'121.322806', u'31.248503']",2室2厅
75平,5000,万兆家园，高区阳光房，最近看房多，南北直通,万兆家园（一期）,/zufang/shz4133991.html,2017.08.03上架,"[u'121.357699', u'31.154624']",2室2厅
63平,4500,2室1厅1卫，看房客户多，放心好房，钥匙在链家,博山小区,/zufang/shz4133761.html,2017.08.03上架,"[u'121.561216', u'31.25253']",2室1厅
52平,4500,虹福小区，看房方便，近地铁，链家好房,虹福小区,/zufang/shz4133741.html,2017.08.03上架,"[u'121.370522', u'31.220383']",1室1厅
45平,5000,好楼层，一链倾城，精致户型，实地看房,延吉三村,/zufang/shz4133704.html,2017.08.02上架,"[u'121.54295', u'31.292605']",2室0厅
60平,4800,红明二村，采光棒，受欢迎好房，交通方便,红明二村,/zufang/shz4133646.html,2017.08.02上架,"[u'121.3812428', u'31.16861516']",2室1厅
65平,7000,一室小户型，看房有钥匙，空气清新，最近看房多,中远两湾城,/zufang/shz4133543.html,2017.08.02上架,"[u'121.451405', u'31.259226']",1室2厅
42平,4000,日晖六村，钥匙在店，受欢迎好房，生活很便利,日晖六村,/zufang/shz4133542.html,2017.08.02上架,"[u'121.467842', u'31.201255']",2室0厅
36平,3800,一室小户型，有钥匙，看房客户多，好房好心情,长隆住宅小区,/zufang/shz4133236.html,2017.08.02上架,"[u'121.5479406', u'31.27922335']",1室1厅
102平,11000,中远两湾城，光线非常好，交通方便，实地看房,中远两湾城,/zufang/shz4132673.html,2017.08.02上架,"[u'121.451405', u'31.259226']",2室2厅
70平,3300,两室户，看房方便，地铁沿线，好房好心情,新凯城香樟苑,/zufang/shz4132638.html,2017.08.02上架,"[u'121.23841', u'31.117894']",2室1厅
73平,5200,南北通，最近看房多，交通方便，钥匙房,缘圆宝邸,/zufang/shz4132563.html,2017.08.02上架,"[u'121.322806', u'31.248503']",2室2厅
82平,6500,近地铁，上下楼方便，精致户型，最近看房多,万邦都市花园,/zufang/shz4132503.html,2017.08.02上架,"[u'121.559261', u'31.207145']",2室1厅
50平,2700,红旗五村，钥匙在链家，上门实拍，上下楼方便,红旗五村,/zufang/shz4132152.html,2017.08.02上架,"[u'121.4093154', u'31.01766634']",2室1厅
41平,4000,交通方便，链家有钥匙，链家房源，温馨之家,田林十二村,/zufang/shz4131998.html,2017.08.02上架,"[u'121.436477', u'31.178974']",1室0厅
22平,3000,控江路1200弄，最近看房多，温馨一室，上下楼方便,控江路1200弄,/zufang/shz4131878.html,2017.08.02上架,"[u'121.533023', u'31.284686']",1室0厅
43平,7500,马当小区，1室0厅，多次带看，有爱有家,马当小区,/zufang/shz4131526.html,2017.08.02上架,"[u'121.482302', u'31.219313']",1室0厅
47平,4950,一室小户型，出行方便，人气房源，真实在租,大宁龙盛雅苑,/zufang/shz4131257.html,2017.08.01上架,"[u'121.453634', u'31.27751']",1室1厅
34平,4500,北蒙三小区，1室1厅1卫，高区采光好，上门实拍,北蒙三小区,/zufang/shz4130480.html,2017.08.01上架,"[u'121.482555', u'31.211906']",1室1厅
50平,3800,大华二村，附近有地铁，小户型，受欢迎好房,大华二村,/zufang/shz4130428.html,2017.08.01上架,"[u'121.422363', u'31.278963']",1室1厅
119平,9000,南北通透，采光棒，看房方便，3房出租,达安春之声,/zufang/shz4130303.html,2017.08.01上架,"[u'121.408813', u'31.273818']",3室2厅
54平,4600,古美西路316弄，真实在租，光线充足，实地看房,古美西路316弄,/zufang/shz4130295.html,2017.08.01上架,"[u'121.40246', u'31.13966']",1室1厅
57平,5300,临沂八村，钥匙房，高清大图，实地看房,临沂八村,/zufang/shz4130225.html,2017.08.01上架,"[u'121.521992', u'31.203131']",2室2厅
40平,4700,温馨之家，看房有钥匙，地铁沿线，有爱有家,番南小区,/zufang/shz4129501.html,2017.07.31上架,"[u'121.432296', u'31.198694']",1室1厅
237平,26000,享受好房，看房有钥匙，改善住房，高清实拍,世茂滨江花园,/zufang/shz4129343.html,2017.07.31上架,"[u'121.520399', u'31.227414']",3室2厅
39平,4500,蓝高小区，交通方便，最近看房多，好房待租,蓝高小区,/zufang/shz4129248.html,2017.07.31上架,"[u'121.536618', u'31.217388']",2室0厅
38平,4100,低楼层，高清照片，最近看房多，放心好房,田林三村,/zufang/shz4128477.html,2017.07.31上架,"[u'121.428933', u'31.17756']",1室1厅
68平,9800,玉兰花苑，生活很便利，适合自住，放心好房,玉兰花苑,/zufang/shz4128445.html,2017.07.31上架,"[u'121.441486', u'31.191995']",2室2厅
39平,4500,鞍山四村第三小区，实地看房，1室1厅1卫，上下楼方便,鞍山四村第三小区,/zufang/shz4128030.html,2017.07.31上架,"[u'121.514523', u'31.280994']",1室1厅
68平,5000,简约二室，钥匙房，近地铁，高清实拍,品华苑,/zufang/shz4127879.html,2017.07.31上架,"[u'121.5271233', u'31.1457274']",2室1厅
43平,5500,人气房源，1室1厅1卫，上门实勘，好房待租,桥一小区,/zufang/shz4127705.html,2017.07.30上架,"[u'121.487565', u'31.208687']",1室1厅
62平,6000,好楼层，有钥匙房源，好房待租，最近看房多,佳龙花园,/zufang/shz4127629.html,2017.07.30上架,"[u'121.542656', u'31.305005']",1室1厅
101平,10500,达安花园，看房有钥匙，受欢迎好房，精致户型,达安花园,/zufang/shz4127557.html,2017.07.30上架,"[u'121.43529', u'31.236859']",2室2厅
62平,4500,2室1厅1卫，出行方便，人气房源，低楼层,呼玛三村,/zufang/shz4127284.html,2017.07.30上架,"[u'121.447435', u'31.343659']",2室1厅
48平,5200,最近看房多，钥匙房，1室1厅1卫，放心好房,新领地,/zufang/shz4127120.html,2017.07.30上架,"[u'121.556841', u'31.209192']",1室1厅
48平,6000,公安大楼，如您所见，地铁沿线，受欢迎好房,公安大楼（徐汇）,/zufang/shz4127059.html,2017.07.30上架,"[u'121.45131', u'31.205519']",1室1厅
86平,4800,两室户，享受好房，链家有钥匙，人气房源,经纬观澜弘郡家园（三期）,/zufang/shz4126946.html,2017.07.30上架,"[u'121.403641', u'31.333349']",2室2厅
36平,4100,小户型，交通方便，实地看房，一链倾城,双辽支路70弄,/zufang/shz4126633.html,2017.07.30上架,"[u'121.522793', u'31.2771176']",1室1厅
77平,3600,好房待租，受欢迎好房，精致户型，出行方便,新凯家园,/zufang/shz4126543.html,2017.07.30上架,"[u'121.2400431', u'31.11265928']",2室1厅
150平,14000,黄浦国际，钥匙房，链家好房，3室2厅2卫,黄浦国际,/zufang/shz4126538.html,2017.07.30上架,"[u'121.495432', u'31.216123']",3室2厅
72平,4500,享受好房，有钥匙，近地铁，受欢迎好房,金霞苑,/zufang/shz4126419.html,2017.07.30上架,"[u'121.3239396', u'31.25284993']",2室1厅
32平,5800,好房待租，出行方便，有钥匙，最近看房多,黄陂南路783号,/zufang/shz4126311.html,2017.07.30上架,"[u'121.4842705', u'31.21828345']",1室1厅
35平,3500,密云小区，交通方便，好楼层，上门实拍,密云小区,/zufang/shz4126184.html,2017.07.30上架,"[u'121.503674', u'31.28564']",1室0厅
32平,4200,金坤花园，温馨之家，看房客户多，地铁沿线,金坤花园,/zufang/shz4125856.html,2017.07.30上架,"[u'121.379814', u'31.185505']",1室1厅
